文件名,单物相1,分数1,单物相2,分数2,单物相3,分数3,单物相4,分数4,单物相5,分数5,单物相6,分数6,单物相7,分数7,单物相8,分数8,单物相9,分数9,单物相10,分数10,单物相11,分数11,单物相12,分数12,单物相13,分数13,单物相14,分数14,单物相15,分数15,单物相16,分数16,单物相17,分数17,单物相18,分数18,单物相19,分数19,单物相20,分数20,单物相21,分数21,单物相22,分数22,单物相23,分数23,单物相24,分数24,单物相25,分数25,单物相26,分数26,单物相27,分数27,单物相28,分数28,单物相29,分数29,单物相30,分数30,多物相1,分数1,多物相2,分数2,多物相3,分数3,多物相4,分数4,多物相5,分数5,多物相6,分数6,多物相7,分数7,多物相8,分数8,多物相9,分数9,多物相10,分数10,多物相11,分数11,多物相12,分数12,多物相13,分数13,多物相14,分数14,多物相15,分数15,多物相16,分数16,多物相17,分数17,多物相18,分数18,多物相19,分数19,多物相20,分数20,多物相21,分数21,多物相22,分数22,多物相23,分数23,多物相24,分数24,多物相25,分数25,多物相26,分数26,多物相27,分数27,多物相28,分数28,多物相29,分数29,多物相30,分数30,备注
s-ethane-1,Hematophanite__R0706...,0.490,Hematophanite__R0706...,0.489,Plattnerite__R070605...,0.484,Muscovite__R100147__...,0.452,Paragonite__R050447_...,0.449,Paralaurionite__R050...,0.446,serpentine-1,0.443,Geikielite__R070479_...,0.433,magnesite-1,0.433,Paragonite__R050447_...,0.430,Indium__R060771__Ram...,0.417,Paralaurionite__R050...,0.416,Muscovite__R100147__...,0.402,Muscovite__R050080__...,0.396,magnesite-3,0.391,Muscovite__R050080__...,0.382,Muirite__R140248__Ra...,0.379,Muscovite__R060182__...,0.375,Muscovite__R100147__...,0.374,Trilithionite__R0401...,0.368,Geikielite__R070479_...,0.364,Miersite__R110034__R...,0.363,Corvusite__R060265__...,0.362,Muscovite__R050198__...,0.361,Zincocopiapite__R060...,0.361,Trilithionite__R0401...,0.360,Geikielite__R070479_...,0.352,Diaboleite__R050270_...,0.348,Tsumgallite__R100125...,0.348,Muscovite__R050188__...,0.348,Paralaurioni...(0.70)+magnesite-1(0.30),0.564,Paralaurioni...(0.70)+serpentine-1(0.30),0.563,magnesite-1(0.33)+Paralaurioni...(0.67),0.553,serpentine-1(0.33)+Paralaurioni...(0.67),0.546,serpentine-1(0.51)+magnesite-1(0.49),0.528,Hematophanit...(0.70)+serpentine-1(0.30),0.520,Paralaurioni...(0.67)+magnesite-3(0.33),0.516,Plattnerite_...(0.68)+magnesite-1(0.32),0.515,Muscovite__R...(0.61)+magnesite-1(0.39),0.515,Paralaurioni...(0.65)+magnesite-3(0.35),0.514,Hematophanit...(0.69)+magnesite-1(0.31),0.510,Hematophanit...(0.46)+Paralaurioni...(0.29)+serpentine-1(0.25),0.510,Hematophanit...(0.69)+serpentine-1(0.31),0.507,Hematophanit...(0.67)+serpentine-1(0.13)+magnesite-1(0.21),0.506,magnesite-1(0.33)+Indium__R060...(0.67),0.505,Hematophanit...(0.46)+Paralaurioni...(0.30)+serpentine-1(0.25),0.501,Hematophanit...(0.49)+Paralaurioni...(0.25)+magnesite-1(0.25),0.500,Plattnerite_...(0.43)+Paralaurioni...(0.32)+magnesite-1(0.25),0.498,Hematophanit...(0.69)+magnesite-1(0.31),0.498,Hematophanit...(0.67)+serpentine-1(0.13)+magnesite-1(0.21),0.497,Hematophanit...(0.65)+serpentine-1(0.15)+magnesite-3(0.20),0.495,Hematophanit...(0.64)+serpentine-1(0.30)+Paralaurioni...(0.06),0.493,serpentine-1(0.39)+magnesite-3(0.61),0.492,Hematophanit...(0.49)+Paralaurioni...(0.26)+magnesite-1(0.25),0.492,Hematophanit...(0.70)+Hematophanit...(0.00)+serpentine-1(0.30),0.490,Hematophanit...(0.46)+Hematophanit...(0.00)+Paralaurioni...(0.29)+serpentine-1(0.25),0.488,Hematophanit...(0.65)+serpentine-1(0.15)+magnesite-3(0.20),0.487,Hematophanit...(0.67)+Hematophanit...(0.00)+serpentine-1(0.13)+magnesite-1(0.21),0.486,Hematophanit...(0.48)+Hematophanit...(0.00)+Paralaurioni...(0.24)+serpentine-1(0.11)+magnesite-1(0.17),0.485,Hematophanit...(0.63)+magnesite-1(0.30)+Paralaurioni...(0.07),0.485,
s-ethane-2,magnesite-1,0.550,Hematophanite__R0706...,0.520,serpentine-4,0.509,Hematophanite__R0706...,0.504,Paralaurionite__R050...,0.502,magnesite-3,0.475,serpentine-1,0.471,Plattnerite__R070605...,0.443,Paragonite__R050447_...,0.442,serpentine-2,0.439,Paralaurionite__R050...,0.432,Paragonite__R050447_...,0.428,Muirite__R120160__Ra...,0.404,Fizelyite__R060175_b...,0.392,Muscovite__R050198__...,0.387,Muscovite__R050198__...,0.386,Muirite__R140248__Ra...,0.385,Dickthomssenite__R07...,0.382,Indium__R060771__Ram...,0.377,Geikielite__R070479_...,0.375,Topaz__R060024__Rama...,0.372,Pararealgar__R150123...,0.371,talc-2,0.368,Topaz__R060024__Rama...,0.364,Veenite__R130407__Ra...,0.363,Paralaurionite__R100...,0.361,Uchucchacuaite__R070...,0.361,Lorandite__R110055__...,0.354,Lorandite__R110055__...,0.353,Topaz__R050404__Rama...,0.351,magnesite-1(1.00),0.548,magnesite-1(0.47)+Paralaurioni...(0.53),0.545,serpentine-4(0.45)+Paralaurioni...(0.55),0.535,magnesite-1(0.47)+Paralaurioni...(0.53)+Fizelyite__R...(0.00),0.517,Paralaurioni...(0.50)+magnesite-3(0.50),0.507,magnesite-1(0.63)+Fizelyite__R...(0.37),0.507,magnesite-1(0.39)+Paralaurioni...(0.51)+serpentine-1(0.10),0.503,serpentine-4(1.00),0.501,magnesite-1(0.44)+Paralaurioni...(0.39)+Muirite__R12...(0.16),0.500,magnesite-1(0.34)+serpentine-4(0.15)+Paralaurioni...(0.51),0.500,Paralaurioni...(0.58)+serpentine-2(0.42),0.500,magnesite-1(0.45)+Hematophanit...(0.55),0.496,Hematophanit...(0.57)+serpentine-4(0.43),0.495,magnesite-1(0.53)+Muirite__R12...(0.47),0.495,magnesite-1(0.40)+Paralaurioni...(0.51)+serpentine-2(0.09),0.494,magnesite-1(0.47)+Paralaurioni...(0.53)+Paralaurioni...(0.00),0.494,Paralaurioni...(0.54)+serpentine-1(0.46),0.493,serpentine-4(0.23)+Paralaurioni...(0.48)+magnesite-3(0.29),0.492,magnesite-1(0.43)+Paralaurioni...(0.40)+Muscovite__R...(0.16),0.491,magnesite-1(0.45)+Hematophanit...(0.55)+Fizelyite__R...(0.00),0.491,serpentine-4(0.63)+Fizelyite__R...(0.37),0.490,magnesite-1(0.45)+Hematophanit...(0.55),0.488,serpentine-4(0.43)+Hematophanit...(0.57),0.485,serpentine-4(0.45)+Paralaurioni...(0.55)+Fizelyite__R...(0.00),0.485,magnesite-1(0.38)+Hematophanit...(0.53)+serpentine-1(0.09),0.485,magnesite-1(0.61)+Paralaurioni...(0.39),0.485,magnesite-1(0.45)+Hematophanit...(0.55)+Fizelyite__R...(0.00),0.485,magnesite-1(0.47)+Paragonite__...(0.53),0.483,magnesite-1(0.47)+Plattnerite_...(0.53),0.482,magnesite-1(0.33)+Hematophanit...(0.54)+serpentine-4(0.14),0.482,
s-ethane-3,Dendoraite-(NH4)__R2...,0.290,Dendoraite-(NH4)__R2...,0.290,Hydroxylbastnasite-(...,0.287,Hydroxylbastnasite-(...,0.286,Parisite-(Ce)__R1200...,0.273,Parisite-(Ce)__R1200...,0.271,Sazhinite-(La)__R120...,0.262,Vladimirivanovite__R...,0.258,Sazhinite-(La)__R120...,0.256,Parisite-(Ce)__R0503...,0.256,Hydroxylbastnasite-(...,0.255,Parisite-(Ce)__R0503...,0.255,Dresserite__R060304_...,0.251,Lokkaite-(Y)__R06109...,0.250,Hydroxylbastnasite-(...,0.249,Caysichite-(Y)__R080...,0.247,Caysichite-(Y)__R080...,0.246,Lokkaite-(Y)__R06109...,0.244,Synchysite-(Ce)__R06...,0.244,Parisite-(Ce)__R0503...,0.243,Parisite-(Ce)__R0503...,0.243,Synchysite-(Ce)__R06...,0.243,Benstonite__R050484_...,0.243,Benstonite__R050484_...,0.243,Magnesite__R050443__...,0.242,Magnesite__R050443__...,0.242,Nesquehonite__R05063...,0.242,Benstonite__R050484_...,0.241,Benstonite__R050484_...,0.241,Paratooite-(La)__R11...,0.233,Dendoraite-(...(0.51)+Hydroxylbast...(0.43)+Vladimirivan...(0.06),0.428,Dendoraite-(...(0.51)+Hydroxylbast...(0.43)+Vladimirivan...(0.06),0.428,Dendoraite-(...(0.54)+Sazhinite-(L...(0.39)+Vladimirivan...(0.07),0.427,Dendoraite-(...(0.54)+Parisite-(Ce...(0.41)+Vladimirivan...(0.05),0.427,Dendoraite-(...(0.53)+Parisite-(Ce...(0.42)+Vladimirivan...(0.05),0.427,Dendoraite-(...(0.00)+Dendoraite-(...(0.54)+Sazhinite-(L...(0.39)+Vladimirivan...(0.07),0.427,Dendoraite-(...(0.00)+Dendoraite-(...(0.54)+Parisite-(Ce...(0.41)+Vladimirivan...(0.05),0.426,Dendoraite-(...(0.55)+Vladimirivan...(0.07)+Sazhinite-(L...(0.38),0.426,Dendoraite-(...(0.00)+Dendoraite-(...(0.53)+Parisite-(Ce...(0.42)+Vladimirivan...(0.05),0.426,Dendoraite-(...(0.53)+Sazhinite-(L...(0.40)+Vladimirivan...(0.08),0.426,Dendoraite-(...(0.56)+Vladimirivan...(0.05)+Hydroxylbast...(0.39),0.426,Dendoraite-(...(0.00)+Dendoraite-(...(0.55)+Vladimirivan...(0.07)+Sazhinite-(L...(0.38),0.426,Dendoraite-(...(0.53)+Parisite-(Ce...(0.42)+Vladimirivan...(0.06),0.425,Dendoraite-(...(0.00)+Dendoraite-(...(0.56)+Vladimirivan...(0.05)+Hydroxylbast...(0.39),0.425,Dendoraite-(...(0.54)+Vladimirivan...(0.08)+Sazhinite-(L...(0.39),0.425,Dendoraite-(...(0.00)+Dendoraite-(...(0.51)+Hydroxylbast...(0.43)+Vladimirivan...(0.06),0.425,Dendoraite-(...(0.52)+Parisite-(Ce...(0.42)+Vladimirivan...(0.06),0.425,Dendoraite-(...(0.55)+Vladimirivan...(0.06)+Hydroxylbast...(0.40),0.424,Dendoraite-(...(0.00)+Dendoraite-(...(0.51)+Hydroxylbast...(0.43)+Vladimirivan...(0.06),0.424,Dendoraite-(...(0.00)+Dendoraite-(...(0.51)+Hydroxylbast...(0.43)+Hydroxylbast...(0.00)+Vladimirivan...(0.06),0.424,Dendoraite-(...(0.59)+Vladimirivan...(0.07)+Lokkaite-(Y)...(0.35),0.424,Dendoraite-(...(0.49)+Hydroxylbast...(0.44)+Vladimirivan...(0.07),0.424,Dendoraite-(...(0.56)+Vladimirivan...(0.05)+Hydroxylbast...(0.39),0.423,Dendoraite-(...(0.00)+Dendoraite-(...(0.59)+Vladimirivan...(0.07)+Lokkaite-(Y)...(0.35),0.423,Dendoraite-(...(0.49)+Hydroxylbast...(0.44)+Vladimirivan...(0.07),0.423,Dendoraite-(...(0.49)+Hydroxylbast...(0.44)+Hydroxylbast...(0.00)+Vladimirivan...(0.07),0.423,Dendoraite-(...(0.00)+Dendoraite-(...(0.56)+Vladimirivan...(0.05)+Hydroxylbast...(0.39),0.423,Dendoraite-(...(0.00)+Dendoraite-(...(0.45)+Parisite-(Ce...(0.26)+Sazhinite-(L...(0.23)+Vladimirivan...(0.06),0.423,Dendoraite-(...(0.00)+Dendoraite-(...(0.46)+Parisite-(Ce...(0.26)+Sazhinite-(L...(0.23)+Vladimirivan...(0.06),0.423,Dendoraite-(...(0.00)+Dendoraite-(...(0.54)+Parisite-(Ce...(0.00)+Parisite-(Ce...(0.41)+Vladimirivan...(0.05),0.422,
s-ethane-4,Dendoraite-(NH4)__R2...,0.283,Dendoraite-(NH4)__R2...,0.283,Hydroxylbastnasite-(...,0.278,Hydroxylbastnasite-(...,0.277,Afmite__R130082__Ram...,0.267,Dresserite__R060304_...,0.266,Parisite-(Ce)__R1200...,0.265,Kimuraite-(Y)__R0505...,0.264,Parisite-(Ce)__R0503...,0.262,Parisite-(Ce)__R0503...,0.261,Parisite-(Ce)__R1200...,0.261,Sazhinite-(La)__R120...,0.256,Sazhinite-(La)__R120...,0.250,Synchysite-(Ce)__R06...,0.248,magnesite-2,0.244,Magnesite__R050443__...,0.243,Benstonite__R050484_...,0.243,Magnesite__R050443__...,0.243,Synchysite-(Ce)__R06...,0.242,Hydroxylbastnasite-(...,0.242,Hydroxylbastnasite-(...,0.241,Magnesite__R040114__...,0.240,Magnesite__R040114__...,0.240,Caysichite-(Y)__R080...,0.239,Parisite-(Ce)__R0503...,0.238,Parisite-(Ce)__R0503...,0.238,Benstonite__R050484_...,0.238,Caysichite-(Y)__R080...,0.237,Benstonite__R050484_...,0.237,Gaspeite__R040157__R...,0.237,Dendoraite-(...(0.39)+Dendoraite-(...(0.00)+Afmite__R130...(0.05)+Parisite-(Ce...(0.37)+magnesite-2(0.19),0.461,Dendoraite-(...(0.39)+Dendoraite-(...(0.00)+Afmite__R130...(0.05)+Parisite-(Ce...(0.36)+magnesite-2(0.19),0.459,Dendoraite-(...(0.36)+Hydroxylbast...(0.41)+Afmite__R130...(0.05)+magnesite-2(0.18),0.454,Dendoraite-(...(0.36)+Hydroxylbast...(0.41)+Afmite__R130...(0.05)+magnesite-2(0.18),0.454,Dendoraite-(...(0.36)+Dendoraite-(...(0.00)+Hydroxylbast...(0.41)+Afmite__R130...(0.05)+magnesite-2(0.18),0.454,Dendoraite-(...(0.36)+Dendoraite-(...(0.00)+Hydroxylbast...(0.41)+Afmite__R130...(0.05)+magnesite-2(0.18),0.453,Dendoraite-(...(0.36)+Dendoraite-(...(0.00)+Hydroxylbast...(0.41)+Hydroxylbast...(0.00)+Afmite__R130...(0.05)+magnesite-2(0.18),0.453,Dendoraite-(...(0.43)+Dendoraite-(...(0.00)+Afmite__R130...(0.05)+Sazhinite-(L...(0.35)+magnesite-2(0.18),0.453,Dendoraite-(...(0.43)+Dendoraite-(...(0.00)+Afmite__R130...(0.04)+Sazhinite-(L...(0.34)+magnesite-2(0.18),0.452,Dendoraite-(...(0.39)+Dendoraite-(...(0.00)+Afmite__R130...(0.05)+Parisite-(Ce...(0.38)+magnesite-2(0.18),0.450,Dendoraite-(...(0.38)+Dendoraite-(...(0.00)+Afmite__R130...(0.05)+Parisite-(Ce...(0.39)+magnesite-2(0.18),0.449,Dendoraite-(...(0.69)+Dendoraite-(...(0.00)+Afmite__R130...(0.06)+magnesite-2(0.24),0.446,Dendoraite-(...(0.69)+Afmite__R130...(0.06)+magnesite-2(0.24),0.444,Dendoraite-(...(0.35)+Dendoraite-(...(0.00)+Hydroxylbast...(0.32)+Afmite__R130...(0.05)+Parisite-(Ce...(0.10)+magnesite-2(0.18),0.444,Dendoraite-(...(0.35)+Dendoraite-(...(0.00)+Hydroxylbast...(0.32)+Hydroxylbast...(0.00)+Afmite__R130...(0.05)+Parisite-(Ce...(0.10)+magnesite-2(0.18),0.444,Dendoraite-(...(0.38)+Dendoraite-(...(0.00)+Hydroxylbast...(0.36)+Kimuraite-(Y...(0.08)+magnesite-2(0.18),0.443,Dendoraite-(...(0.38)+Dendoraite-(...(0.00)+Hydroxylbast...(0.36)+Hydroxylbast...(0.00)+Kimuraite-(Y...(0.08)+magnesite-2(0.18),0.443,Dendoraite-(...(0.38)+Dendoraite-(...(0.00)+Hydroxylbast...(0.36)+Kimuraite-(Y...(0.08)+magnesite-2(0.18),0.443,Dendoraite-(...(0.35)+Dendoraite-(...(0.00)+Hydroxylbast...(0.33)+Afmite__R130...(0.05)+Parisite-(Ce...(0.10)+magnesite-2(0.18),0.443,Dendoraite-(...(0.35)+Dendoraite-(...(0.00)+Hydroxylbast...(0.33)+Hydroxylbast...(0.00)+Afmite__R130...(0.05)+Parisite-(Ce...(0.10)+magnesite-2(0.18),0.443,Dendoraite-(...(0.35)+Dendoraite-(...(0.00)+Hydroxylbast...(0.35)+Afmite__R130...(0.05)+Sazhinite-(L...(0.07)+magnesite-2(0.17),0.442,Dendoraite-(...(0.35)+Dendoraite-(...(0.00)+Hydroxylbast...(0.35)+Hydroxylbast...(0.00)+Afmite__R130...(0.05)+Sazhinite-(L...(0.07)+magnesite-2(0.17),0.442,Dendoraite-(...(0.35)+Dendoraite-(...(0.00)+Hydroxylbast...(0.36)+Afmite__R130...(0.05)+Sazhinite-(L...(0.06)+magnesite-2(0.17),0.442,Dendoraite-(...(0.35)+Dendoraite-(...(0.00)+Hydroxylbast...(0.36)+Hydroxylbast...(0.00)+Afmite__R130...(0.05)+Sazhinite-(L...(0.06)+magnesite-2(0.17),0.442,Dendoraite-(...(0.68)+Afmite__R130...(0.07)+magnesite-2(0.25),0.441,Dendoraite-(...(0.54)+Dendoraite-(...(0.00)+Afmite__R130...(0.05)+Parisite-(Ce...(0.40),0.441,Dendoraite-(...(0.41)+Dendoraite-(...(0.00)+Afmite__R130...(0.06)+Dresserite__...(0.35)+magnesite-2(0.19),0.441,Dendoraite-(...(0.43)+Dendoraite-(...(0.00)+Afmite__R130...(0.05)+Kimuraite-(Y...(0.34)+magnesite-2(0.18),0.440,Dendoraite-(...(0.54)+Dendoraite-(...(0.00)+Afmite__R130...(0.05)+Parisite-(Ce...(0.40)+Parisite-(Ce...(0.00),0.440,Dendoraite-(...(0.55)+Dendoraite-(...(0.00)+Afmite__R130...(0.05)+Parisite-(Ce...(0.40),0.440,
s-ethane-5,Dendoraite-(NH4)__R2...,0.311,Dendoraite-(NH4)__R2...,0.309,Hydroxylbastnasite-(...,0.283,Hydroxylbastnasite-(...,0.282,Caysichite-(Y)__R080...,0.266,Caysichite-(Y)__R080...,0.264,Parisite-(Ce)__R0503...,0.262,Parisite-(Ce)__R0503...,0.261,Dresserite__R060304_...,0.261,Caysichite-(Y)__R080...,0.257,Parisite-(Ce)__R1200...,0.251,Parisite-(Ce)__R1200...,0.247,Synchysite-(Ce)__R06...,0.242,Synchysite-(Ce)__R06...,0.241,Benstonite__R050484_...,0.240,Benstonite__R050484_...,0.239,Benstonite__R050484_...,0.238,Hydroxylbastnasite-(...,0.238,Hydroxylbastnasite-(...,0.238,Afmite__R130082__Ram...,0.235,Benstonite__R050484_...,0.234,Gaspeite__R040157__R...,0.234,Gaspeite__R040157__R...,0.233,Paulisite__R250092__...,0.231,Paulisite__R250092__...,0.231,Sazhinite-(La)__R120...,0.230,Paratooite-(La)__R11...,0.229,Paratooite-(La)__R11...,0.228,Parisite-(Ce)__R0503...,0.227,Parisite-(Ce)__R0503...,0.227,Dendoraite-(...(0.00)+Dendoraite-(...(0.52)+Hydroxylbast...(0.23)+Caysichite-(...(0.06)+Benstonite__...(0.19),0.395,Dendoraite-(...(0.00)+Dendoraite-(...(0.52)+Hydroxylbast...(0.23)+Hydroxylbast...(0.00)+Caysichite-(...(0.06)+Benstonite__...(0.19),0.395,Dendoraite-(...(0.00)+Dendoraite-(...(0.52)+Hydroxylbast...(0.23)+Caysichite-(...(0.06)+Benstonite__...(0.19),0.395,Dendoraite-(...(0.51)+Hydroxylbast...(0.24)+Caysichite-(...(0.06)+Benstonite__...(0.19),0.393,Dendoraite-(...(0.51)+Hydroxylbast...(0.24)+Caysichite-(...(0.06)+Benstonite__...(0.19),0.393,Dendoraite-(...(0.00)+Dendoraite-(...(0.55)+Hydroxylbast...(0.25)+Caysichite-(...(0.10)+Parisite-(Ce...(0.10),0.391,Dendoraite-(...(0.00)+Dendoraite-(...(0.55)+Hydroxylbast...(0.25)+Caysichite-(...(0.10)+Parisite-(Ce...(0.10),0.390,Dendoraite-(...(0.00)+Dendoraite-(...(0.55)+Hydroxylbast...(0.25)+Hydroxylbast...(0.00)+Caysichite-(...(0.10)+Parisite-(Ce...(0.10),0.390,Dendoraite-(...(0.54)+Hydroxylbast...(0.26)+Caysichite-(...(0.10)+Parisite-(Ce...(0.09),0.390,Dendoraite-(...(0.00)+Dendoraite-(...(0.56)+Caysichite-(...(0.15)+Parisite-(Ce...(0.09)+Benstonite__...(0.21),0.390,Dendoraite-(...(0.00)+Dendoraite-(...(0.56)+Caysichite-(...(0.15)+Parisite-(Ce...(0.08)+Benstonite__...(0.21),0.390,Dendoraite-(...(0.55)+Hydroxylbast...(0.26)+Caysichite-(...(0.10)+Parisite-(Ce...(0.09),0.390,Dendoraite-(...(0.00)+Dendoraite-(...(0.55)+Hydroxylbast...(0.25)+Caysichite-(...(0.10)+Parisite-(Ce...(0.10),0.390,Dendoraite-(...(0.55)+Hydroxylbast...(0.26)+Caysichite-(...(0.11)+Parisite-(Ce...(0.09),0.390,Dendoraite-(...(0.00)+Dendoraite-(...(0.55)+Hydroxylbast...(0.25)+Caysichite-(...(0.10)+Parisite-(Ce...(0.10)+Parisite-(Ce...(0.00),0.389,Dendoraite-(...(0.00)+Dendoraite-(...(0.55)+Hydroxylbast...(0.25)+Hydroxylbast...(0.00)+Caysichite-(...(0.10)+Parisite-(Ce...(0.10)+Parisite-(Ce...(0.00),0.389,Dendoraite-(...(0.00)+Dendoraite-(...(0.55)+Hydroxylbast...(0.25)+Caysichite-(...(0.10)+Parisite-(Ce...(0.09),0.389,Dendoraite-(...(0.00)+Dendoraite-(...(0.55)+Hydroxylbast...(0.25)+Hydroxylbast...(0.00)+Caysichite-(...(0.10)+Parisite-(Ce...(0.09),0.389,Dendoraite-(...(0.55)+Hydroxylbast...(0.26)+Caysichite-(...(0.11)+Parisite-(Ce...(0.09),0.389,Dendoraite-(...(0.00)+Dendoraite-(...(0.52)+Hydroxylbast...(0.23)+Caysichite-(...(0.06)+Parisite-(Ce...(0.00)+Benstonite__...(0.19),0.387,Dendoraite-(...(0.00)+Dendoraite-(...(0.52)+Hydroxylbast...(0.23)+Hydroxylbast...(0.00)+Caysichite-(...(0.06)+Parisite-(Ce...(0.00)+Benstonite__...(0.19),0.387,Dendoraite-(...(0.00)+Dendoraite-(...(0.52)+Hydroxylbast...(0.23)+Caysichite-(...(0.06)+Parisite-(Ce...(0.00)+Benstonite__...(0.19),0.386,Dendoraite-(...(0.00)+Dendoraite-(...(0.52)+Hydroxylbast...(0.23)+Hydroxylbast...(0.00)+Caysichite-(...(0.06)+Parisite-(Ce...(0.00)+Benstonite__...(0.19),0.386,Dendoraite-(...(0.56)+Hydroxylbast...(0.29)+Caysichite-(...(0.15),0.386,Dendoraite-(...(0.00)+Dendoraite-(...(0.56)+Hydroxylbast...(0.29)+Caysichite-(...(0.15),0.386,Dendoraite-(...(0.00)+Dendoraite-(...(0.56)+Hydroxylbast...(0.29)+Hydroxylbast...(0.00)+Caysichite-(...(0.15),0.386,Dendoraite-(...(0.56)+Hydroxylbast...(0.29)+Caysichite-(...(0.15),0.385,Dendoraite-(...(0.00)+Dendoraite-(...(0.56)+Hydroxylbast...(0.29)+Caysichite-(...(0.15),0.385,Dendoraite-(...(0.00)+Dendoraite-(...(0.54)+Caysichite-(...(0.13)+Parisite-(Ce...(0.16)+Dresserite__...(0.17),0.385,Dendoraite-(...(0.00)+Dendoraite-(...(0.54)+Caysichite-(...(0.13)+Parisite-(Ce...(0.16)+Dresserite__...(0.17),0.385,
s-methanol-1,magnesite-1,0.485,magnesite-3,0.455,Hematophanite__R0706...,0.429,Paralaurionite__R050...,0.428,Hematophanite__R0706...,0.422,Plattnerite__R070605...,0.405,Paragonite__R050447_...,0.389,Paragonite__R050447_...,0.389,serpentine-1,0.386,serpentine-2,0.384,Indium__R060771__Ram...,0.377,Geikielite__R070479_...,0.376,serpentine-4,0.367,Muirite__R120160__Ra...,0.366,Topaz__R050404__Rama...,0.364,Paralaurionite__R050...,0.360,Topaz__R050404__Rama...,0.355,Muirite__R140248__Ra...,0.350,Dickthomssenite__R07...,0.348,Topaz__R060024__Rama...,0.339,Muscovite__R100147__...,0.337,Laurionite__R140025_...,0.336,Geikielite__R070479_...,0.336,Topaz__R040121__Rama...,0.335,Topaz__R060024__Rama...,0.334,Topaz__R050405__Rama...,0.332,talc-2,0.331,Paralaurionite__R100...,0.330,Muirite__R140248__Ra...,0.328,Paralaurionite__R100...,0.327,magnesite-1(0.41)+Paralaurioni...(0.59),0.485,magnesite-1(1.00),0.484,magnesite-1(0.37)+Paralaurioni...(0.44)+Topaz__R0504...(0.18),0.467,magnesite-1(0.38)+Paralaurioni...(0.44)+Muirite__R12...(0.18),0.463,magnesite-1(0.47)+Muirite__R12...(0.53),0.463,magnesite-1(0.50)+Topaz__R0504...(0.50),0.462,magnesite-3(0.43)+Paralaurioni...(0.57),0.459,magnesite-3(1.00),0.452,magnesite-1(0.36)+Hematophanit...(0.50)+Topaz__R0504...(0.15),0.452,magnesite-3(0.31)+Paralaurioni...(0.55)+serpentine-1(0.15),0.451,magnesite-1(0.38)+Hematophanit...(0.62),0.451,magnesite-1(0.33)+Paralaurioni...(0.57)+serpentine-1(0.10),0.450,magnesite-1(0.30)+Paralaurioni...(0.43)+serpentine-1(0.09)+Topaz__R0504...(0.18),0.450,magnesite-1(0.35)+Paralaurioni...(0.34)+Muirite__R12...(0.15)+Topaz__R0504...(0.16),0.448,magnesite-1(0.37)+Hematophanit...(0.54)+Muirite__R12...(0.09),0.448,magnesite-1(0.36)+Hematophanit...(0.50)+Topaz__R0504...(0.15),0.448,magnesite-1(0.39)+Muirite__R12...(0.33)+Topaz__R0504...(0.28),0.447,magnesite-1(0.42)+Geikielite__...(0.58),0.446,magnesite-1(0.32)+Paralaurioni...(0.45)+serpentine-1(0.08)+Muirite__R12...(0.15),0.446,magnesite-1(0.38)+Hematophanit...(0.62),0.445,magnesite-1(0.29)+Hematophanit...(0.48)+serpentine-1(0.08)+Topaz__R0504...(0.14),0.445,magnesite-1(0.26)+Paralaurioni...(0.44)+serpentine-4(0.12)+Topaz__R0504...(0.17),0.444,magnesite-3(0.25)+Paralaurioni...(0.55)+serpentine-4(0.20),0.444,magnesite-1(0.37)+Hematophanit...(0.54)+Muirite__R12...(0.09),0.444,magnesite-1(0.36)+Hematophanit...(0.50)+Paralaurioni...(0.00)+Topaz__R0504...(0.15),0.443,magnesite-1(0.28)+Paralaurioni...(0.58)+serpentine-4(0.14),0.442,magnesite-1(0.35)+Hematophanit...(0.44)+Muirite__R12...(0.07)+Topaz__R0504...(0.14),0.442,magnesite-1(0.36)+Hematophanit...(0.50)+Hematophanit...(0.00)+Topaz__R0504...(0.15),0.442,magnesite-1(0.31)+Paralaurioni...(0.43)+serpentine-2(0.08)+Topaz__R0504...(0.18),0.442,magnesite-1(0.39)+Paralaurioni...(0.39)+Geikielite__...(0.22),0.442,
